,property_type,state,lat,lon,area_m2,price_usd
259,house,Distrito Federal,19.471368,-99.08649,280,141052.63
260,house,Veracruz de Ignacio de la Llave,19.125807,-96.104954,251,139473.68
261,house,Distrito Federal,19.414261,-99.104118,167,236842.11
262,house,Baja California,32.469454,-117.003688,93,89421.05
263,house,Estado de México,19.5224961,-99.255074,230,227684.21
264,house,Yucatán,21.039522,-89.563911,181,97894.74
265,house,Quintana Roo,20.6295586,-87.0738851,143,127894.74
266,house,Veracruz de Ignacio de la Llave,19.17078,-96.12487,380,236842.11
267,house,Chiapas,16.756552,-93.181732,326,192217.47
268,house,Querétaro,20.5745579,-100.4129676,160,194736.84
269,house,Jalisco,20.62192,-103.259237,250,110526.32
270,apartment,Yucatán,21.06334852,-89.61303592,60,46789.47
271,house,Nuevo León,25.749624,-100.304192,172,121052.63
272,house,Puebla,19.036623,-98.190544,204,78947.37
273,house,Distrito Federal,19.358008,-99.127094,95,101157.89
274,house,Chiapas,19.701565,-101.270798,250,63157.89
275,apartment,Distrito Federal,19.415143,-99.14685,70,36421.05
276,house,Veracruz de Ignacio de la Llave,18.1479784,-94.4626507,157,121052.63
277,apartment,Guerrero,16.794599,-99.83012,230,207894.74
278,house,Querétaro,20.594322,-100.365929,298,173684.21
279,house,Morelos,18.919898,-98.978835,190,97368.42
280,house,Veracruz de Ignacio de la Llave,19.074387,-96.086259,245,151315.79
281,house,Guerrero,16.758724,-99.767563,142,100000
282,house,Estado de México,19.650003,-99.220367,132,137105.26
283,house,Estado de México,19.72876,-99.461708,90,70263.16
284,house,Jalisco,23.634501,-102.552788,127,84210.53
285,house,Yucatán,20.999449,-89.6334,300,228947.37
286,house,Yucatán,21.0411724,-89.5550539,215,98162.37
287,house,Puebla,19.105051,-98.243682,170,97368.42
288,apartment,Yucatán,21.0381057,-89.5933722,186,148739.68
289,house,Veracruz de Ignacio de la Llave,19.136782,-96.123543,210,89473.68
290,house,Baja California,32.63496,-115.391907,110,102631.58
291,house,Yucatán,21.039522,-89.563911,223,125926.68
292,house,Veracruz de Ignacio de la Llave,25.535009,-103.302429,350,42105.26
293,house,Nayarit,20.7053975,-105.2684878,101,65789.47
294,house,Veracruz de Ignacio de la Llave,25.659972,-103.366303,170,49473.68
295,house,Tamaulipas,22.2722052,-97.8476749,214,128947.37
296,house,Morelos,18.867191,-99.180214,184,86842.11
297,house,Querétaro,20.6962084,-100.4506587,120,76315.79
298,house,Distrito Federal,19.285162,-99.194185,150,110000
299,house,Estado de México,19.497893,-99.244125,250,234210.53
300,apartment,Guerrero,23.634501,-102.552788,170,157894.74
301,house,Sonora,23.634501,-102.552788,383,184210.53
302,house,Querétaro,20.389062,-99.957622,95,48947.37
303,apartment,Guerrero,16.828667,-99.858981,137,97368.42
304,house,Querétaro,20.705742,-100.444016,258,210526.32
305,apartment,Distrito Federal,19.35782,-99.149406,80,68157.89
306,house,Morelos,18.864874,-98.925911,121,65789.47
307,house,Distrito Federal,19.342911,-99.224472,120,171949.05
308,house,Estado de México,23.634501,-102.552788,228,149000
309,house,Sonora,29.063726,-110.976746,102,57894.74
310,house,Nuevo León,25.801826,-100.196945,190,104736.84
311,house,Querétaro,20.5951924,-100.3479663,180,120000
312,house,Puebla,19.059084,-98.286095,165,94736.84
313,house,Estado de México,23.634501,-102.552788,150,35368.42
314,apartment,Querétaro,20.726007,-100.442642,135,115789.47
315,house,Yucatán,21.0278699,-89.5880314,240,184210.53
316,house,Morelos,18.91473109,-98.94081116,140,118421.05
317,house,Yucatán,20.968147,-89.629875,70,78947.37
318,house,Nuevo León,25.674595,-100.463539,234,113157.89
319,house,Yucatán,21.039522,-89.563911,220,118421.05
320,house,Morelos,18.850763,-98.943855,160,84210.53
321,house,Querétaro,20.726007,-100.442642,250,194736.84
322,apartment,Puebla,19.056689,-98.237817,120,115789.47
323,house,Tamaulipas,22.270658,-97.849037,380,263157.89
324,house,Jalisco,20.748312,-103.429504,96,77631.58
325,house,Querétaro,20.614635,-100.416756,139,92105.26
326,house,San Luis Potosí,22.152988,-100.965364,250,115789.47
327,house,Yucatán,21.039522,-89.563911,220,94210.53
328,house,Nuevo León,25.723516,-100.393311,290,181263.16
329,house,Veracruz de Ignacio de la Llave,19.563767,-96.938694,300,228947.37
330,apartment,Distrito Federal,19.474885,-99.188231,92,71052.63
331,house,Morelos,18.8624622,-99.2120335,261,221052.63
332,house,Estado de México,19.508698,-98.875664,260,44789.47
333,house,Yucatán,20.968791,-89.5857147,228,66526.32
334,apartment,Estado de México,19.3735635,-99.2965778,126,142105.26
335,house,Tamaulipas,22.2453265,-97.8431699,131,73684.21
336,apartment,Distrito Federal,19.303392,-99.243225,80,52428.26
337,apartment,Guerrero,16.794434,-99.830807,256,307127.16
338,house,Tamaulipas,22.300137,-97.897331,111,63157.89
339,house,Jalisco,20.749051,-103.66731,300,147368.42
340,house,Veracruz de Ignacio de la Llave,26.847851,-101.424133,160,67026.32
341,house,Baja California,23.634501,-102.552788,115,42631.58
342,apartment,Puebla,19.02038,-98.207626,219,101315.79
343,house,Hidalgo,20.0519991,-98.755252,110,44736.84
344,house,Yucatán,21.0634817,-89.6110378,250,118421.05
345,house,Distrito Federal,19.399652,-99.16127,235,205263.16
346,house,Durango,24.043295,-104.636917,350,236842.11
347,house,Veracruz de Ignacio de la Llave,25.551631,-103.432737,236,39473.68
348,house,Querétaro,20.574251,-100.388476,195,63157.89
349,apartment,Distrito Federal,19.482603,-99.194748,60,78947.37
350,house,Morelos,18.953268,-99.224525,201,78947.37
351,apartment,Morelos,18.891611,-99.221756,93,49473.68
352,apartment,San Luis Potosí,22.1441622,-101.0358237,160,89421.05
353,house,Estado de México,19.2693686,-99.6021262,250,294736.84
354,house,Yucatán,21.0749983,-89.5195181,242,101884.21
355,house,Puebla,18.462721,-97.414111,250,144736.84
356,house,Estado de México,19.595285,-99.050201,120,36842.11
357,house,Sonora,27.934649,-110.94401,134,57894.74
358,house,Sinaloa,24.79119169,-107.3835468,300,144736.84
359,house,Distrito Federal,19.500286,-99.122093,180,118421.05
360,house,Yucatán,21.072905,-89.65963,253,110526.32
361,house,Tlaxcala,19.4171734,-98.1434147,140,44736.84
362,house,Yucatán,21.008295,-89.591019,250,158210.53
363,house,Morelos,18.864482,-98.928802,121,65789.47
364,house,Distrito Federal,19.366935,-99.077541,208,77089.47
365,house,San Luis Potosí,23.634501,-102.552788,198,110526.32
366,house,Chiapas,16.757278,-93.134056,255,165043.74
367,house,Nayarit,20.697244,-105.274384,160,155263.16
368,house,Puebla,19.02038,-98.207626,330,184210.53
369,house,Quintana Roo,21.1773896,-86.8179603,290,118421.05
370,house,Guerrero,16.855229,-99.918871,150,57894.74
371,house,Tabasco,17.97423,-92.923836,110,55263.16
372,house,Distrito Federal,19.313719,-99.231792,300,103684.21
373,house,Durango,25.58972991,-103.4631872,118,50000
374,house,Quintana Roo,21.161908,-86.8515279,204,157368.42
375,house,Yucatán,21.03071,-89.618103,131,71052.63
376,apartment,Distrito Federal,19.39912,-99.141464,74,175368.42
377,house,Yucatán,21.05632272,-89.66288656,220,105263.16
378,house,Estado de México,19.5139313,-99.2281847,160,106368.42
379,house,Querétaro,20.598278,-100.33121,140,92631.58
380,house,Sinaloa,23.270559,-106.389061,158,71052.63
381,house,Baja California Sur,23.634501,-102.552788,80,50000
382,apartment,Guerrero,16.85952231,-99.86284733,142,110526.32
383,house,Morelos,18.884224,-98.982506,150,46315.79
384,house,Morelos,18.862602,-99.213448,160,103157.89
385,apartment,Distrito Federal,19.40012,-99.1532,84,93368.42
386,house,Veracruz de Ignacio de la Llave,25.55617,-103.481529,307,110526.32
387,house,Veracruz de Ignacio de la Llave,25.573046,-103.443045,200,35789.47
388,house,Morelos,18.858107,-99.200287,105,72578.95
389,house,Chihuahua,28.6569304,-106.0919272,115,68421.05
390,house,Veracruz de Ignacio de la Llave,28.684125,-100.541089,160,44736.84
391,house,Tamaulipas,22.254078,-97.824554,140,60526.32
392,house,Chiapas,16.766455,-93.111488,240,67368.42
393,house,Querétaro,20.545198,-100.407191,140,55263.16
394,house,San Luis Potosí,22.18774276,-100.9580845,200,67631.58
395,house,Morelos,18.864874,-98.925911,86,46315.79
396,apartment,San Luis Potosí,22.133104,-100.982117,130,72631.58
397,house,Tamaulipas,26.079573,-98.282845,268,115789.47
398,apartment,Veracruz de Ignacio de la Llave,19.127317,-96.106186,160,152631.58
399,apartment,Distrito Federal,19.340305,-99.214455,60,121052.63
400,house,Estado de México,19.517476,-99.272892,170,97894.74
401,house,Estado de México,19.552838,-99.251161,80,44105.26
402,apartment,Distrito Federal,19.35743172,-99.28732574,67,139473.68
403,house,Estado de México,19.69323,-99.22522,70,53097.89
404,house,Distrito Federal,19.325944,-99.098311,250,107894.74
405,house,Jalisco,20.621093,-103.319042,380,194736.84
406,house,Baja California,32.647057,-115.421524,176,102631.58
407,house,San Luis Potosí,22.141575,-100.900192,245,84210.53
408,house,Puebla,18.978682,-98.250015,128,68421.05
409,house,Querétaro,20.619887,-100.392302,350,194736.84
410,house,Morelos,18.892714,-99.1996,285,197368.42
411,house,Tamaulipas,22.329824,-97.880325,200,184210.53
412,apartment,Distrito Federal,19.322523,-99.141464,78,150000
413,house,Chiapas,16.70635,-93.177151,115,53684.21
414,house,Estado de México,19.297163,-99.635183,230,105263.16
415,house,Veracruz de Ignacio de la Llave,20.95062266,-97.42163144,64,44736.84
416,house,Yucatán,20.9725515,-89.6004394,229,51578.95
417,house,Distrito Federal,19.317675,-99.09318,229,184210.53
418,house,Morelos,18.879347,-99.179871,95,71052.63
419,house,Durango,25.625198,-103.499954,132,45789.47
420,apartment,Distrito Federal,19.401507,-99.14682,90,91052.63
421,apartment,Distrito Federal,19.474285,-99.084981,74,36000
422,house,Morelos,18.928623,-99.247382,220,89473.68
423,house,Querétaro,20.520556,-99.895833,350,205263.16
424,house,Nuevo León,25.662563,-100.18013,350,157894.74
425,house,Sinaloa,23.246303,-106.398103,200,52631.58
426,house,Morelos,18.969294,-99.249802,198,136842.11
427,apartment,Guerrero,16.75063911,-99.76263069,70,43684.21
428,house,Distrito Federal,19.335116,-99.223332,90,171578.95
429,apartment,Distrito Federal,19.402944,-99.199727,70,61242.11
430,house,Estado de México,19.682219,-99.118782,188,163157.89
431,house,Nuevo León,25.7214602,-100.2735673,85,63157.89
432,house,Querétaro,20.5980665,-100.4308988,115,71052.63
433,house,Nuevo León,25.672399,-100.257777,123,64210.53
434,apartment,Distrito Federal,19.399815,-99.150806,90,120000
435,house,Yucatán,20.9550515,-89.6793392,120,41052.63
436,house,Chiapas,16.228815,-92.128043,147,68421.05
437,apartment,Jalisco,20.69064,-103.393175,166,274592.89
438,house,Estado de México,19.258327,-99.598374,215,247105.26
439,house,Querétaro,20.726007,-100.442642,295,273684.21
440,apartment,Distrito Federal,19.403334,-99.157755,125,241060.53
441,apartment,Baja California,32.451368,-116.973935,70,36092.11
442,house,Aguascalientes,21.901482,-102.34405,350,202631.58
443,house,Jalisco,20.302476,-103.23781,340,313105.26
444,house,Puebla,19.076204,-98.266733,117,71052.63
445,apartment,Distrito Federal,19.48778,-99.110583,65,52631.58
446,house,Distrito Federal,19.3176966,-99.0612554,100,109210.53
447,house,Quintana Roo,21.129547,-86.817017,180,97368.42
448,house,Puebla,19.046724,-98.254127,136,120252.63
449,apartment,Distrito Federal,19.352431,-99.288369,80,152631.58
450,house,Morelos,18.858107,-99.200287,92,52398.95
451,house,Querétaro,20.6536084,-100.3469826,130,88947.37
452,house,Nuevo León,25.7542524,-100.4034274,137,71052.63
453,house,Yucatán,21.006756,-89.570984,155,71052.63
454,house,Morelos,18.891621,-99.071698,68,41578.95
455,house,Distrito Federal,19.317653,-99.236291,350,176315.79
456,house,Tamaulipas,22.246319,-97.86264,163,113157.89
457,apartment,Distrito Federal,23.634501,-102.552788,100,78947.37
458,apartment,Distrito Federal,19.3651763,-99.2300641,66,65789.47
459,house,Querétaro,20.593055,-100.333424,175,94736.84
460,house,Nuevo León,25.6910283,-100.3568071,340,310526.32
461,house,Jalisco,20.594706,-103.396278,90,51578.95
462,house,Veracruz de Ignacio de la Llave,23.634501,-102.552788,148,81578.95
463,house,Puebla,18.989918,-98.2295,220,89473.68
464,house,Puebla,19.043993,-98.25757,188,78947.37
465,house,Hidalgo,20.1213329,-98.7818531,66,34210.53
466,house,Nayarit,20.733392,-105.288009,172,118421.05
