,property_type,state,region,lat,lon,area_m2,price_brl
116,apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,145,748595.73
117,apartment,Pernambuco,Northeast,-8.056418,-34.909309,112,731015.72
118,apartment,Pernambuco,Northeast,-8.033863,-34.918545,200,1616966.85
119,apartment,Pernambuco,Northeast,-8.108315,-34.898277,108,798502.15
120,apartment,Pernambuco,Northeast,-8.113885,-34.89584,,798502.15
121,apartment,Pernambuco,Northeast,-8.115533,-34.896854,86,748595.73
122,apartment,Pernambuco,Northeast,-8.126271,-34.903793,135,648782.97
123,apartment,Pernambuco,Northeast,-8.040929,-34.888283,60,466125.61
124,apartment,Pernambuco,Northeast,-8.038549,-34.901844,75,369307.22
125,apartment,Pernambuco,Northeast,-8.027162,-34.913445,180,898314.91
126,apartment,Pernambuco,Northeast,-8.0620223,-34.8971463,93,349344.66
127,apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,110,807676.27
128,apartment,Pernambuco,Northeast,-8.1208606,-34.899662,175,858389.79
129,apartment,Pernambuco,Northeast,-8.1460785,-34.906419,170,798502.15
130,apartment,Pernambuco,Northeast,-8.056418,-34.909309,67,399251.07
131,apartment,Pernambuco,Northeast,-8.089291,-34.903793,119,865070.26
132,apartment,Pernambuco,Northeast,-8.183491,-34.921719,54,299438.28
133,apartment,Pernambuco,Northeast,-8.046962,-34.899654,100,598876.59
134,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73,409232.33
135,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73,389269.77
136,apartment,Pernambuco,Northeast,-8.028039,-34.8992006,,329382.13
137,apartment,Pernambuco,Northeast,-8.0938881,-34.883418,66,439176.16
138,apartment,Pernambuco,Northeast,-8.09607,-34.884548,145,469120.01
139,apartment,Pernambuco,Northeast,-8.1460785,-34.906419,167,848408.53
140,apartment,Pernambuco,Northeast,-8.004057,-34.841721,75,399251.07
141,apartment,Pernambuco,Northeast,-8.034344,-34.896725,55,359325.95
142,apartment,Pernambuco,Northeast,-8.0508763,-34.9113739,155,1147846.81
143,house,Pernambuco,Northeast,-8.049178,-34.924473,200,848408.53
144,apartment,Pernambuco,Northeast,-8.0310293,-34.9275023,140,948221.29
145,house,Pernambuco,Northeast,-8.0314434,-34.92159,190,1077977.9
146,apartment,Pernambuco,Northeast,-8.044832,-34.910873,65,367310.97
147,apartment,Pernambuco,Northeast,-8.089291,-34.903793,109,836430.98
148,apartment,Pernambuco,Northeast,-8.108554,-34.891766,102,778539.59
149,apartment,Pernambuco,Northeast,-8.126271,-34.903793,165,598876.59
150,apartment,Pernambuco,Northeast,-8.034408,-34.893291,,988146.4
151,apartment,Pernambuco,Northeast,-8.0369,-34.884521,65,348346.53
152,apartment,Pernambuco,Northeast,-8.056418,-34.909309,95,598876.59
153,apartment,Pernambuco,Northeast,-8.056418,-34.909309,86,568932.77
154,apartment,Pernambuco,Northeast,-8.1241574,-34.9000543,74,474509.81
155,apartment,Pernambuco,Northeast,-8.1937545,-34.9228696,63,312974.53
156,apartment,Pernambuco,Northeast,-8.1416581,-34.9099297,125,636045.06
157,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,110,610805.16
158,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,120,686524.82
159,apartment,Pernambuco,Northeast,-8.1978842,-34.92564,64,254522.54
160,apartment,Pernambuco,Northeast,-8.1118458,-34.8947337,158,1110554.87
161,apartment,Pernambuco,Northeast,-8.0955108,-34.884688,156,1144881.1
162,apartment,Pernambuco,Northeast,-8.0944065,-34.883792,123,989403.42
163,apartment,Pernambuco,Northeast,-8.1294021,-34.9056294,63,424030.02
164,house,Pernambuco,Northeast,-8.183491,-34.921719,250,648782.97
165,apartment,Pernambuco,Northeast,-8.094985,-34.892761,240,1116829.6
166,apartment,Pernambuco,Northeast,-8.1263587,-34.905748,130,588895.33
167,apartment,Pernambuco,Northeast,-8.1207496,-34.899219,120,349344.66
168,apartment,Pernambuco,Northeast,-8.1435997,-34.909065,103,489082.54
169,apartment,Pernambuco,Northeast,-8.034344,-34.896725,82,578914.03
170,apartment,Pernambuco,Northeast,-8.0288008,-34.9190997,,868371.08
171,apartment,Pernambuco,Northeast,-8.046962,-34.899654,100,364316.6
172,apartment,Pernambuco,Northeast,-8.044034,-34.8955201,170,678726.79
173,apartment,Pernambuco,Northeast,-8.062398,-34.904552,140,798502.15
174,apartment,Pernambuco,Northeast,-8.034104,-34.89806,,711665.02
175,apartment,Pernambuco,Northeast,-8.027134,-34.901733,108,529007.65
176,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,142,747100.55
177,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,170,908635.8
178,apartment,Pernambuco,Northeast,-8.126271,-34.903793,,479101.27
179,apartment,Pernambuco,Northeast,-8.032375,-34.906925,203,1177790.66
180,apartment,Pernambuco,Northeast,-8.062398,-34.904552,140,848408.53
181,house,Pernambuco,Northeast,-8.1567832,-34.914263,250,1597004.3
182,apartment,Pernambuco,Northeast,-8.158369,-34.920389,,299438.28
183,apartment,Pernambuco,Northeast,-8.044832,-34.910873,65,379288.51
184,apartment,Pernambuco,Northeast,-8.1112378,-34.8958906,163,1211514.4
185,apartment,Pernambuco,Northeast,-8.033752,-34.8982362,89,686524.82
186,apartment,Pernambuco,Northeast,-8.033752,-34.8982362,113,832916.14
187,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203,1377416.18
188,apartment,Pernambuco,Northeast,-8.068109,-34.924175,75,259513.19
189,apartment,Pernambuco,Northeast,-8.0179739,-34.940726,58,339224.03
190,apartment,Pernambuco,Northeast,-8.0307507,-34.917765,68,465423.45
191,apartment,Pernambuco,Northeast,-8.0275469,-34.9078785,66,421001.23
192,apartment,Pernambuco,Northeast,-8.1249136,-34.9077055,56,340233.61
193,apartment,Pernambuco,Northeast,-8.1410578,-34.9047129,140,959115.56
194,apartment,Pernambuco,Northeast,-8.0485123,-34.9106168,62,302878.6
195,apartment,Pernambuco,Northeast,-8.0336819,-34.8983573,127,747100.55
196,apartment,Pernambuco,Northeast,-8.0578381,-34.882897,131,648782.97
197,apartment,Pernambuco,Northeast,-8.02765,-34.920338,96,698689.35
198,apartment,Pernambuco,Northeast,-8.048381,-34.908379,75,409232.33
199,apartment,Pernambuco,Northeast,-8.021971,-34.931366,150,1097940.43
200,apartment,Pernambuco,Northeast,-8.0578238,-34.9126499,140,349344.66
201,apartment,Pernambuco,Northeast,-8.14068,-34.905975,,698689.35
202,apartment,Pernambuco,Northeast,-8.02765,-34.920338,105,818464.67
203,apartment,Pernambuco,Northeast,-8.106074,-34.888065,94,748595.73
204,apartment,Pernambuco,Northeast,-8.140393,-34.906624,128,1097940.43
205,apartment,Pernambuco,Northeast,-8.140393,-34.906624,128,1048034.05
206,apartment,Pernambuco,Northeast,-8.09607,-34.884548,90,489082.54
207,apartment,Pernambuco,Northeast,-8.103477,-34.888622,230,798502.15
208,apartment,Pernambuco,Northeast,-8.0378897,-34.9113117,122,848408.53
209,apartment,Pernambuco,Northeast,-8.035595,-34.921719,106,678726.79
210,apartment,Pernambuco,Northeast,-8.021971,-34.931366,204,1297565.98
211,apartment,Pernambuco,Northeast,-8.050071,-34.89138,,1097940.43
212,apartment,Pernambuco,Northeast,-8.056418,-34.909309,91,678726.79
213,apartment,Pernambuco,Northeast,-8.0369,-34.884521,64,364316.6
214,apartment,Pernambuco,Northeast,-8.1274129,-34.905172,122,529007.65
215,apartment,Pernambuco,Northeast,-8.0334139,-34.9089276,,628820.41
216,apartment,Pernambuco,Northeast,-8.0418977,-34.9456721,93,299438.28
217,apartment,Pernambuco,Northeast,-8.086438,-34.89069,87,299438.28
218,apartment,Pernambuco,Northeast,-8.116624,-34.899124,,538988.95
219,apartment,Pernambuco,Northeast,-8.027162,-34.913445,,319400.84
220,apartment,Pernambuco,Northeast,-8.044757,-34.89185,110,339363.39
221,apartment,Pernambuco,Northeast,-8.044204,-34.891396,147,848408.53
222,apartment,Pernambuco,Northeast,-8.048158,-34.910992,,369307.22
223,apartment,Pernambuco,Northeast,-8.02765,-34.920338,104,638801.71
224,apartment,Pernambuco,Northeast,-8.046015,-34.910507,86,529007.65
225,apartment,Pernambuco,Northeast,-8.049665,-34.931366,62,357931.56
226,apartment,Pernambuco,Northeast,-8.044542,-34.894829,143,918277.46
227,apartment,Pernambuco,Northeast,-8.0407538,-34.888156,60,424204.24
228,apartment,Pernambuco,Northeast,-8.02765,-34.920338,94,538988.95
229,apartment,Pernambuco,Northeast,-8.126271,-34.903793,176,878352.35
230,apartment,Pernambuco,Northeast,-8.215346,-34.927231,103,469120.01
231,apartment,Pernambuco,Northeast,-8.143694,-34.906676,,1367434.92
232,apartment,Pernambuco,Northeast,-8.035595,-34.921719,106,648782.97
233,apartment,Pernambuco,Northeast,-8.115533,-34.896854,117,519026.39
234,apartment,Pernambuco,Northeast,-8.113256,-34.897057,55,449157.45
235,apartment,Pernambuco,Northeast,-8.0576539,-34.8965881,120,299438.28
236,apartment,Pernambuco,Northeast,-8.034929,-34.892761,125,788520.85
237,apartment,Pernambuco,Northeast,-8.034929,-34.892761,115,828445.97
238,apartment,Pernambuco,Northeast,-8.040035,-34.899654,68,309419.57
239,apartment,Pernambuco,Northeast,-8.034929,-34.892761,125,819240.24
240,apartment,Pernambuco,Northeast,-8.047979,-34.908512,82,479101.27
241,apartment,Pernambuco,Northeast,-8.035284,-34.903919,148,768558.29
242,apartment,Pernambuco,Northeast,-8.02765,-34.920338,57,378290.39
243,apartment,Pernambuco,Northeast,-8.034104,-34.89806,113,648782.97
244,apartment,Pernambuco,Northeast,-8.047052,-34.874832,80,479101.27
245,apartment,Pernambuco,Northeast,-8.029394,-34.922832,85,548970.21
246,apartment,Pernambuco,Northeast,-8.0380508,-34.8950597,,429194.89
247,apartment,Pernambuco,Northeast,-8.02765,-34.920338,96,578914.03
248,apartment,Pernambuco,Northeast,-8.125979,-34.903142,,499063.83
249,apartment,Pernambuco,Northeast,-8.1413429,-34.907283,,529007.65
250,apartment,Pernambuco,Northeast,-8.1311923,-34.905777,82,359325.95
251,apartment,Pernambuco,Northeast,-8.1280955,-34.906856,98,449157.45
252,apartment,Pernambuco,Northeast,-8.1161578,-34.893642,,678726.79
253,apartment,Pernambuco,Northeast,-8.1376548,-34.905588,68,369307.22
254,apartment,Pernambuco,Northeast,-8.125862,-34.904531,83,399251.07
255,apartment,Pernambuco,Northeast,-8.0927682,-34.884335,79,399251.07
256,apartment,Pernambuco,Northeast,-8.1239701,-34.905836,80,419213.6
257,apartment,Pernambuco,Northeast,-8.0565882,-34.8781384,176,1161034.64
258,apartment,Pernambuco,Northeast,-8.1132697,-34.896273,136,474110.62
259,apartment,Pernambuco,Northeast,-8.1413642,-34.9263512,92,757196.48
260,apartment,Pernambuco,Northeast,-8.1306902,-34.9098391,65,302878.6
261,apartment,Pernambuco,Northeast,-8.206632,-34.921719,189,688708.09
262,apartment,Pernambuco,Northeast,-8.056418,-34.909309,112,728633.21
263,apartment,Pernambuco,Northeast,-8.02765,-34.920338,87,424204.24
264,apartment,Pernambuco,Northeast,-8.0383055,-34.9146682,,1048034.05
265,apartment,Pernambuco,Northeast,-8.035134,-34.893791,86,529007.65
266,apartment,Pernambuco,Northeast,-8.027162,-34.913445,79,449157.45
267,apartment,Pernambuco,Northeast,-8.030991,-34.880032,55,265965.09
268,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203,1347472.36
269,apartment,Pernambuco,Northeast,-8.0369,-34.884521,64,339363.39
270,apartment,Pernambuco,Northeast,-8.02765,-34.920338,67,339363.39
271,apartment,Pernambuco,Northeast,-8.032006,-34.89827,175,998127.67
272,apartment,Pernambuco,Northeast,-8.02765,-34.920338,65,404241.69
273,apartment,Pernambuco,Northeast,-8.032974,-34.924965,189,1397378.74
274,apartment,Pernambuco,Northeast,-8.032375,-34.906925,226,1247659.6
275,apartment,Pernambuco,Northeast,-8.044757,-34.89185,179,658764.27
276,house,Pernambuco,Northeast,-8.46275,-35.082859,209,1593547.76
277,apartment,Pernambuco,Northeast,-8.035595,-34.921719,155,923268.08
278,apartment,Pernambuco,Northeast,-8.040437,-34.883881,55,399251.07
279,apartment,Pernambuco,Northeast,-8.034929,-34.892761,86,628820.41
280,apartment,Pernambuco,Northeast,-8.040437,-34.883881,56,399251.07
281,apartment,Pernambuco,Northeast,-8.040437,-34.883881,56,399251.07
282,apartment,Pernambuco,Northeast,-8.044204,-34.891396,105,698689.35
283,apartment,Pernambuco,Northeast,-8.0352674,-34.915894,235,1147846.81
284,apartment,Pernambuco,Northeast,-8.0395221,-34.9073309,71,379288.51
285,apartment,Pernambuco,Northeast,-8.113256,-34.897057,55,444166.8
286,apartment,Pernambuco,Northeast,-8.1238,-34.90247,135,648782.97
287,apartment,Pernambuco,Northeast,-8.103477,-34.888622,85,1048034.05
288,apartment,Pernambuco,Northeast,-8.021971,-34.931366,140,828445.97
289,apartment,Pernambuco,Northeast,-8.1395373,-34.909275,85,359325.95
290,apartment,Pernambuco,Northeast,-8.112362,-34.895853,183,1147846.81
291,apartment,Pernambuco,Northeast,-8.183698,-34.931366,,239550.63
292,apartment,Pernambuco,Northeast,-8.1398641,-34.908659,166,618839.15
293,apartment,Pernambuco,Northeast,-8.1376548,-34.905588,66,369307.22
294,apartment,Pernambuco,Northeast,-8.1237621,-34.903048,,489082.54
295,apartment,Pernambuco,Northeast,-8.128416,-34.903417,82,494073.18
296,apartment,Pernambuco,Northeast,-8.126271,-34.903793,107,898314.91
297,apartment,Pernambuco,Northeast,-8.149876,-34.910686,153,1097940.43
298,apartment,Pernambuco,Northeast,-8.034344,-34.896725,87,548970.21
299,apartment,Pernambuco,Northeast,-8.1149776,-34.89895,120,384279.13
300,apartment,Pernambuco,Northeast,-8.125896,-34.900967,,264503.81
301,apartment,Pernambuco,Northeast,-8.1299858,-34.903518,98,519026.39
302,apartment,Pernambuco,Northeast,-8.1221009,-34.905421,66,394260.42
303,apartment,Pernambuco,Northeast,-8.1250952,-34.902995,134,643792.32
304,apartment,Pernambuco,Northeast,-8.1389668,-34.906056,,359325.95
305,apartment,Pernambuco,Northeast,-8.109666,-34.894753,,778539.59
306,apartment,Pernambuco,Northeast,-8.126271,-34.903793,132,698689.35
307,house,Pernambuco,Northeast,-8.1603708,-34.9162064,230,648782.97
308,apartment,Pernambuco,Northeast,-8.111414,-34.894337,158,1197753.22
309,apartment,Pernambuco,Northeast,-8.113888,-34.892437,185,848408.53
310,apartment,Pernambuco,Northeast,-8.1421704,-34.907805,108,648782.97
311,apartment,Pernambuco,Northeast,-8.110801,-34.895542,162,1058318.76
312,apartment,Pernambuco,Northeast,-8.152399,-34.920338,,546384.05
313,apartment,Pernambuco,Northeast,-8.040233,-34.898281,74,259513.19
314,house,Pernambuco,Northeast,-8.1951499,-35.563776,215,374297.86
315,apartment,Pernambuco,Northeast,-8.101428,-34.885632,128,1197753.22
316,apartment,Pernambuco,Northeast,-8.089291,-34.903793,170,1247659.6
317,house,Pernambuco,Northeast,-8.1951499,-35.563776,168,673736.18
318,apartment,Pernambuco,Northeast,-8.206632,-34.921719,134,1114908.62
319,apartment,Pernambuco,Northeast,-8.183491,-34.921719,170,648782.97
320,apartment,Pernambuco,Northeast,-8.2007221,-34.9213268,180,733623.82
321,house,Pernambuco,Northeast,-8.049665,-34.931366,100,349344.66
322,apartment,Pernambuco,Northeast,-8.0449547,-34.8956486,,499063.83
323,apartment,Pernambuco,Northeast,-8.037121,-34.90073,160,1097940.43
324,apartment,Pernambuco,Northeast,-8.021971,-34.931366,172,1197753.22
325,apartment,Pernambuco,Northeast,-8.0369,-34.884521,65,348346.53
326,apartment,Pernambuco,Northeast,-8.027162,-34.913445,98,499063.83
327,apartment,Pernambuco,Northeast,-8.062398,-34.904552,104,631315.74
328,apartment,Pernambuco,Northeast,-8.046647,-34.905537,,499063.83
329,apartment,Pernambuco,Northeast,-8.045761,-34.893982,132,529007.65
330,apartment,Pernambuco,Northeast,-8.027162,-34.913445,129,848408.53
331,apartment,Pernambuco,Northeast,-8.021971,-34.931366,172,1167809.37
332,house,Pernambuco,Northeast,-7.755484,-34.851379,229,499063.83
333,apartment,Pernambuco,Northeast,-8.02765,-34.920338,66,444166.8
334,apartment,Pernambuco,Northeast,-8.040035,-34.899654,,588895.33
335,apartment,Pernambuco,Northeast,-8.125632,-34.904846,155,978165.11
336,apartment,Pernambuco,Northeast,-8.1421911,-34.9075669,108,588873.77
337,apartment,Pernambuco,Northeast,-8.129817,-34.914825,106,784029.28
338,apartment,Pernambuco,Northeast,-8.029863,-34.909756,157,808483.41
339,apartment,Pernambuco,Northeast,-8.056418,-34.909309,113,768558.29
340,apartment,Pernambuco,Northeast,-8.049665,-34.931366,58,299438.28
341,apartment,Pernambuco,Northeast,-8.0369,-34.884521,65,394260.42
342,apartment,Pernambuco,Northeast,-8.056418,-34.909309,91,499063.83
343,apartment,Pernambuco,Northeast,-8.056418,-34.909309,113,918277.46
344,apartment,Pernambuco,Northeast,-8.067211,-34.90517,167,1197753.22
345,apartment,Pernambuco,Northeast,-8.044486,-34.905376,90,548970.21
346,apartment,Pernambuco,Northeast,-8.043853,-34.907928,87,553960.86
347,apartment,Pernambuco,Northeast,-8.043853,-34.907928,,588895.33
348,apartment,Pernambuco,Northeast,-8.033291,-34.898014,114,748595.73
349,apartment,Pernambuco,Northeast,-8.0347457,-34.8972145,102,667747.41
350,apartment,Pernambuco,Northeast,-8.049178,-34.924473,141,898314.91
351,apartment,Pernambuco,Northeast,-8.0508763,-34.9113739,157,978165.11
352,apartment,Pernambuco,Northeast,-8.02765,-34.920338,158,898314.91
353,apartment,Pernambuco,Northeast,-8.037733,-34.901905,58,384279.13
354,apartment,Pernambuco,Northeast,-8.0343998,-34.9212091,,848408.53
355,apartment,Pernambuco,Northeast,-8.0343998,-34.9212091,200,1097940.43
356,apartment,Pernambuco,Northeast,-8.0436724,-34.9090946,90,424204.24
357,apartment,Pernambuco,Northeast,-8.0369,-34.884521,69,329382.13
358,apartment,Pernambuco,Northeast,-8.0330615,-34.8950223,,1247659.6
359,apartment,Pernambuco,Northeast,-8.033406,-34.893208,59,364316.6
360,apartment,Pernambuco,Northeast,-8.0331805,-34.8968813,136,948221.29
361,apartment,Pernambuco,Northeast,-8.206293,-34.936878,,258515.04
362,apartment,Pernambuco,Northeast,-8.14068,-34.905975,150,698689.35
363,apartment,Pernambuco,Northeast,-8.03368,-34.906895,198,1277603.42
364,apartment,Pernambuco,Northeast,-8.034929,-34.892761,102,738614.47
365,apartment,Pernambuco,Northeast,-8.040233,-34.898281,180,628820.41
366,apartment,Pernambuco,Northeast,-8.048381,-34.908379,111,718651.91
367,apartment,Pernambuco,Northeast,-8.040233,-34.898281,170,648782.97
368,apartment,Pernambuco,Northeast,-8.0343998,-34.9212091,,479101.27
369,apartment,Pernambuco,Northeast,-8.029489,-34.9040282,75,289457.01
370,apartment,Pernambuco,Northeast,-8.117513,-34.899639,106,688708.09
371,apartment,Pernambuco,Northeast,-8.021971,-34.931366,204,1397378.74
372,apartment,Pernambuco,Northeast,-8.050071,-34.89138,208,1197753.22
